Eastings (meter),Northing(meter),Exact weed counts,Image estimates
110,147,55,30
125,179,31,37
135,215,78,58
154,260,116,88
172,297,69,49
200,338,130,107
226,381,147,88
254,434,45,40
275,483,26,38
215,498,18,20
199,458,88,55
178,414,300,154
156,369,80,71
134,325,101,68
111,283,73,57
85,239,97,66
65,211,111,87
43,257,172,120
67,291,69,47
84,335,56,69
105,380,93,92
126,425,60,65
149,472,56,59
169,518,18,14
101,492,143,108
69,444,75,76
52,401,27,33
25,364,55,55
0,332,63,85
141,124,53,43
165,159,45,33
186,202,121,103
214,246,74,42
237,288,174,112
253,336,154,106
276,379,7,7
296,424,26,23
309,469,14,38
360,461,19,25
336,413,11,23
302,323,6,17
285,278,22,37
260,229,32,29
226,189,38,49
201,146,115,73
186,89,120,79
232,76,37,21
251,121,79,55
274,168,134,90
302,218,8,13
326,257,14,28
356,303,4,12
369,346,5,18
387,399,5,23
406,444,14,21
450,428,55,25
439,378,90,58
421,317,108,80
399,288,111,72
372,241,37,31
323,156,12,26
296,105,227,148
272,59,110,73
330,43,16,13
353,100,23,30
370,142,32,57
394,189,46,39
423,233,54,48
442,274,90,64
466,312,104,61
484,366,166,122
498,412,81,69
551,388,160,117
534,342,79,69
505,300,96,69
485,259,110,90
469,212,72,60
442,174,13,26
408,129,72,86
391,80,129,91
375,29,170,132
421,15,180,139
450,60,170,156
472,111,48,59
493,155,32,41
520,196,120,95
541,240,53,82
565,282,106,90
205,371,197,185
222,368,200,216
235,365,216,222
241,377,132,83
246,406,80,134
252,422,60,70
265,435,13,35
259,454,10,14
240,442,17,18
230,394,108,84
213,398,135,98
211,385,212,165
